freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	|Ewe|/V	|I|/A	Ns	I Range	(Q-Qo)/mA.h	<Ece>/V	|Ece|/V	Phase(Zce)/deg	|Zce|/Ohm	Re(Zce)/Ohm	-Im(Zce)/Ohm	Phase(Zwe-ce)/deg	|Zwe-ce|/Ohm	Re(Zwe-ce)/Ohm	-Im(Zwe-ce)/Ohm	P/W	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	dq/mA.h	
3.7924759E+000	7.0265193E+000	5.8065763E+000	9.1152782E+000	-3.9569653E+001	6.347526203825511E+004	1.3571697E+001	6.5758586E-006	7.2273179E+003	2.9327671E+003	1.000000000000000E+000	4.3417618E-005	4.7631697E-006	0	14	1.442362827637882E-008	1.3470694E+001	2.8363422E-002	-8.1669493E+000	5.9547368E+003	5.8943457E+003	8.4591779E+002	-8.2125893E+000	5.9625186E+003	5.9013721E+003	8.5172437E+002	0.0000000E+000	8.4566899E-002	6.9884405E-002	1.0970592E-001	3.9569653E+001	-5.419430314316286E-008
2.5682116E+000	1.0798526E+001	3.4007457E-001	1.0803880E+001	-1.8038018E+000	6.347610403829743E+004	1.3571769E+001	6.9669100E-006	1.8222803E+005	1.8055270E+002	1.000000000000000E+000	5.1452436E-005	4.7624035E-006	0	14	-3.886191725974994E-008	1.3455018E+001	2.9232439E-002	-7.6824021E+000	6.1381694E+003	6.0830752E+003	8.2056158E+002	-7.6720915E+000	6.1489165E+003	6.0938735E+003	8.2090167E+002	0.0000000E+000	9.2513479E-002	2.9134979E-003	9.2559345E-002	1.8038018E+000	-5.328554553612877E-008
1.7399776E+000	-4.2088273E-001	8.9511127E+000	8.9610023E+000	-9.2692070E+001	6.347733603835944E+004	1.3571404E+001	7.7255445E-006	1.0218789E+004	1.0196246E+004	1.000000000000000E+000	4.2680247E-005	4.7628878E-006	0	14	-1.750718016959733E-008	1.3426554E+001	3.0126123E-002	-7.3761158E+000	6.3251802E+003	6.2728379E+003	8.1204059E+002	-7.4570074E+000	6.3259185E+003	6.2724170E+003	8.2099170E+002	0.0000000E+000	-5.2414006E-003	1.1147150E-001	1.1159466E-001	9.2692070E+001	2.135473709015262E-008
1.1772907E+000	-9.1061068E+000	1.5286964E+001	1.7793608E+001	-1.2078132E+002	6.347914503845037E+004	1.3571562E+001	7.1406103E-006	8.8433164E+003	6.5272412E+003	1.000000000000000E+000	8.4742620E-005	4.7625317E-006	0	14	1.043197096138329E-007	1.3410276E+001	3.1001223E-002	-6.9923730E+000	6.5093999E+003	6.4609854E+003	7.9243622E+002	-7.1358433E+000	6.5022432E+003	6.4518794E+003	8.0772321E+002	0.0000000E+000	-2.8761046E-002	4.8282888E-002	5.6199957E-002	1.2078132E+002	1.218268897834302E-007
7.9621863E-001	9.1711893E+000	3.2041121E-001	9.1767845E+000	-2.0009124E+000	6.348181003858440E+004	1.3571629E+001	7.3490642E-006	6.2384994E+005	7.6052667E+002	1.000000000000000E+000	4.3705160E-005	4.7625790E-006	0	14	2.922815484713510E-007	1.3412521E+001	3.2084607E-002	-6.9291229E+000	6.7368135E+003	6.6876089E+003	8.1273883E+002	-6.9224272E+000	6.7459565E+003	6.6967803E+003	8.1305927E+002	0.0000000E+000	1.0890419E-001	3.8047547E-003	1.0897063E-001	2.0009124E+000	1.879618388575182E-007
5.3938830E-001	1.8671698E+001	1.5416296E+001	2.4213518E+001	-3.9544800E+001	6.348573303878168E+004	1.3571860E+001	6.5089362E-006	1.9139852E+004	7.7585908E+003	1.000000000000000E+000	1.1532162E-004	4.7626959E-006	0	14	4.488586720428821E-007	1.3426032E+001	3.3316508E-002	-7.0039968E+000	6.9953047E+003	6.9431030E+003	8.5299756E+002	-7.1103649E+000	7.0157290E+003	6.9617749E+003	8.6841388E+002	0.0000000E+000	3.1846959E-002	2.6294459E-002	4.1299243E-002	3.9544800E+001	1.565771235715311E-007
3.6507010E-001	3.1082024E+001	7.5933909E+000	3.1996120E+001	-1.3728551E+001	6.349152303907287E+004	1.3571803E+001	6.7495707E-006	5.7412715E+004	3.2335901E+003	1.000000000000000E+000	1.5239202E-004	4.7628282E-006	0	14	3.844271090485133E-007	1.3448564E+001	3.4526695E-002	-7.8821783E+000	7.2492002E+003	7.1807109E+003	9.9412952E+002	-7.9078250E+000	7.2810308E+003	7.2117930E+003	1.0017229E+003	0.0000000E+000	3.0360898E-002	7.4172192E-003	3.1253789E-002	1.3728551E+001	-6.443156299436877E-008
2.4724665E-001	2.4232613E+001	1.7032926E-001	2.4233212E+001	-4.0272120E-001	6.350006303950236E+004	1.3571796E+001	7.0700976E-006	3.7792050E+006	1.8670546E+002	1.000000000000000E+000	1.1541084E-004	4.7625072E-006	0	14	-5.676131492220469E-008	1.3462915E+001	3.5740793E-002	-8.9564295E+000	7.5046172E+003	7.4131133E+003	1.1683439E+003	-8.9289989E+000	7.5285815E+003	7.4373457E+003	1.1685142E+003	0.0000000E+000	4.1264661E-002	2.9004627E-004	4.1265681E-002	4.0272120E-001	-4.411884239707180E-007
1.6750640E-001	1.2567542E+000	1.6628006E+001	1.6675432E+001	-8.5677773E+001	6.351266104013589E+004	1.3571665E+001	6.9385474E-006	5.7141090E+004	5.6816527E+004	1.000000000000000E+000	7.9417921E-005	4.7625704E-006	0	14	-8.624129048052586E-007	1.3460871E+001	3.6989350E-002	-9.7770767E+000	7.7666777E+003	7.6538740E+003	1.3189003E+003	-9.8963251E+000	7.7707568E+003	7.6551309E+003	1.3355283E+003	0.0000000E+000	4.5195571E-003	5.9797909E-002	5.9968460E-002	8.5677773E+001	-8.056515898830539E-007
1.1320493E-001	1.3994023E+001	2.1340946E+001	2.5519966E+001	-5.6745708E+001	6.353129404107307E+004	1.3571784E+001	6.8294275E-006	6.5878109E+004	4.6068945E+004	1.000000000000000E+000	1.2154212E-004	4.7626286E-006	0	14	-1.694664195302443E-006	1.3441347E+001	3.8554490E-002	-1.0591190E+001	8.0952124E+003	7.9572993E+003	1.4879017E+003	-1.0721173E+001	8.1129116E+003	7.9712935E+003	1.5092427E+003	0.0000000E+000	2.1487327E-002	3.2768268E-002	3.9185006E-002	5.6745708E+001	-8.322512904971846E-007
7.6773763E-002	1.0713541E+001	-1.4802414E+001	1.8272696E+001	5.4104115E+001	6.355876004245435E+004	1.3572010E+001	6.7653618E-006	-1.4004730E+005	-9.1904039E+004	1.000000000000000E+000	8.7024375E-005	4.7625363E-006	0	14	-1.813573846364111E-006	1.3402780E+001	4.0908195E-002	-1.1100327E+001	8.5895820E+003	8.4288848E+003	1.6537314E+003	-1.0989777E+001	8.5972617E+003	8.4395986E+003	1.6389291E+003	0.0000000E+000	3.2086901E-002	-4.4333018E-002	5.4726463E-002	-5.4104115E+001	-1.189096510616676E-007
5.1879965E-002	7.9761319E+000	-9.2599039E+000	1.2221478E+001	4.9259632E+001	6.359939804449806E+004	1.3572205E+001	7.1685645E-006	-3.3129434E+005	-1.9018642E+005	1.000000000000000E+000	5.8210488E-005	4.7629665E-006	0	14	-4.112086832934413E-007	1.3354792E+001	4.5739103E-002	-1.1899547E+001	9.6030703E+003	9.3967061E+003	1.9801190E+003	-1.1835712E+001	9.6089717E+003	9.4046826E+003	1.9708591E+003	0.0000000E+000	5.3400449E-002	-6.1995346E-002	8.1823170E-002	-4.9259632E+001	1.402365163070670E-006
